"Book","Author","Date","List 1","List 2","List 3","List 4","List 5","Gender","Nationality/ Ethnicity","Connectivity","",""
"soundings","A. Hamilton Gibbs","1925.0","0.0","0.0","0.0","0.0","13.0","Male","British","1.0","","0.0"
"the keys of the kingdom","A. J. Cronin","1941.0","0.0","0.0","0.0","0.0","26.0","Male","British","1.0","","0.0"
"winnie-the-pooh","A.A. Milne","1926.0","0.0","0.0","22.0","0.0","0.0","Male","British","1.0","","0.0"
"if winter comes","A.S.M. Hutchinson","1922.0","0.0","0.0","0.0","0.0","10.0","Male","British","1.0","","0.0"
"brave new world","Aldous Huxley","1932.0","5.0","18.0","16.0","44.0","0.0","Male","British","4.0","","5.0"
"point counter point","Aldous Huxley","1928.0","44.0","0.0","0.0","0.0","0.0","Male","British","1.0","","44.0"
"darconville's cat","Alexander Theroux","1981.0","0.0","0.0","0.0","84.0","0.0","Male","European American","1.0","",""
"scarlett","Alexandra Ripley","1991.0","0.0","0.0","0.0","0.0","74.0","Female","European American","1.0","",""
"the color purple","Alice Walker","1982.0","0.0","0.0","5.0","0.0","0.0","Female","African American","1.0","",""
"advise and consent","Allen Drury","1960.0","0.0","0.0","0.0","0.0","44.0","Male","European American","1.0","",""
"a clockwork orange","Anthony Burgess","1962.0","65.0","55.0","49.0","79.0","0.0","Male","British","4.0","",""
"a question of upbringing","Anthony Powell","1951.0","43.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"the old wives' tale","Arnold Bennett","1908.0","87.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"airport","Arthur Hailey","1968.0","0.0","0.0","0.0","0.0","52.0","Male","British","1.0","",""
"wheels","Arthur Hailey","1971.0","0.0","0.0","0.0","0.0","55.0","Male","British","1.0","",""
"darkness at noon","Arthur Koestler","1940.0","8.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"anthem","Ayn Rand","1938.0","0.0","7.0","0.0","0.0","0.0","Female","European American","1.0","",""
"atlas shrugged","Ayn Rand","1957.0","0.0","1.0","92.0","0.0","0.0","Female","European American","2.0","",""
"the fountainhead","Ayn Rand","1943.0","0.0","2.0","43.0","0.0","0.0","Female","European American","2.0","",""
"we the living","Ayn Rand","1936.0","0.0","8.0","0.0","0.0","0.0","Female","European American","1.0","",""
"the age of wire and string","Ben Marcus","1995.0","0.0","0.0","0.0","72.0","0.0","Male","European American","1.0","",""
